4.41;The Budapest New Technology Meetup Group;408089;newtech-42;4315
4.54;budapest.rb;1271139;budapest-rb;605
4.67;Budapest Science Meetup;1286482;BpScienceMeetup;1993
4.6;budapest.py;1413737;budapest-py;1679
4.65;The Budapest Functional Programming Group;1418965;fp-bud;648
4.83;New and not so new in Budapest;1535688;insightbudapest;612
4.53;BudapestJS;1603209;budapest-js;1747
4.54;Budapest Agile Meetup Group;1626758;AgileHungary;2978
4.54;Budapest Data Science Meetup;1632914;budapest_data_science;2711
4.52;MeetOFF;1724823;meetoff;2016
4.89;HUG-MSSQL;1757864;HUG-MSSQL;399
4.89;Django Group Budapest;1814456;Django-Group-Budapest;434
4.67;User Experience Budapest;1830691;UXbudapest;3594
4.61;The Budapest Lean and Kanban Meetup Group;1917051;Bp-Lean-and-Kanban-Meetup;455
4.53;Budapest DevOps Meetup;2698342;devopsbp;1598
4.54;Frontend Meetup Budapest - Design & Tech;2861972;Frontend-Meetup-Budapest;2214
4.77;Hungarian Natural Language Processing Meetup;3418472;Hungarian-nlp;968
4.17;Budapest Quantified Self Group;3470922;BudapestQS;322
4.68;OpenStack Hungary Meetup Group;3567842;OpenStack-Hungary-Meetup-Group;714
4.77;palinQA — Budapest QA Meetup;3914712;palinqa;875
4.68;Full Stack Meetup Budapest;3917992;fullstackbp;1264
4.78;Business Meetup;4008272;businessmeetup-hu;2458
4.71;NET-WORKS Online Communications Meetup Budapest;4172072;Networks-online-communications-meetup-Budapest;441
4.5;White Hatters' Society;4237402;WhiteHattersSociety;208
5;SEO + CMS;4488762;SEOCMS;80
4.76;SEO Tanfolyam;4544292;seotanfolyam;103
0;Startup Grind Budapest;4705342;Startup-Grind-Budapest;195
4.66;DPC Java Bár;4895142;bpjavabar;354
4.6;KÜRT Akadémia meetupok;5310592;KURT_Akademia;484
4.82;StartUp Budapest;5370042;startupbudapest;1771
4.75;Teszt & Tea;5553742;teszt-tea;2035
4.77;Budapest Language Exchange & Friends;5707062;Budapest-Language-Exchange-Friends;4372
4.88;GDG Budapest;6397942;GDG-Budapest;849
4.92;Kríziskommunikáció Meetup;6423202;kriziskommunikacio;723
4.89;Budapest Clojure User Group;6604302;Budapest-Clojure-User-Group;250
4.57;Budapest Big Data Meetup;6895392;Big-Data-Meetup-Budapest;1906
4.81;Budapest Database Meetup;6946192;Budapest-Database-Meetup;619
4;Budapest JenkinsCI Users;7157072;Budapest-JenkinsCI-Users;160
4.6;Lean Startup Circle - Budapest;7340442;Lean-Startup-Circle-Budapest;989
