4.54;Budapest Data Science Meetup;1632914;budapest_data_science;2711
4.89;HUG-MSSQL;1757864;HUG-MSSQL;399
4.77;Hungarian Natural Language Processing Meetup;3418472;Hungarian-nlp;968
4.6;KÜRT Akadémia meetupok;5310592;KURT_Akademia;484
4.57;Budapest Big Data Meetup;6895392;Big-Data-Meetup-Budapest;1906
4.81;Budapest Database Meetup;6946192;Budapest-Database-Meetup;619
5;Budapest Cassandra Users  - by DataStax -;7481102;Budapest-Cassandra-Users;112
0;Pro Bono Analytics;9383312;Pro-Bono-Analytics;62
4.89;Budapest Users of R Network;9756472;Budapest-Users-of-R-Network;1157
4.87;MongoDB Budapest;10008542;MongoDB-Budapest;276
4.97;Budapest BI Meetup;17286502;Budapest-BI-Meetup;1085
4.85;Budapest Data Visualization Meetup;17887882;Budapest-Data-Visualization-Meetup;659
4.83;Budapest Network Science Community;17987692;Budapest-network-science;933
4.82;Big Data, Budapest;18203132;Big-Data-Budapest;1488
5;Budapest Machine Learning Meetup;18516199;Budapest-Machine-Learning-Meetup;437
4.96;Budapest Data Projects Meetup;18561749;Budapest-Data-Projects-Meetup;596
4.58;Budapest Analytics Rockstars;18583057;Budapest-Analytics-Rockstars;1037
4.9;Neo4j - Budapest;18663387;neo4j-budapest-users;345
5;Snowplow Analytics Budapest;19134025;Snowplow-Analytics-Budapest;83
4.8;Budapest Spark Meetup;19210599;Budapest-Spark-Meetup;554
4.83;Budapest NOSQL Meetup;19500615;Budapest-NOSQL;425
4.54;Budapest dataSTREAM Meetup Series;19652247;Budapest-dataSTREAM-Meetup-Series;793
4.77;Future of Data: Budapest;19691177;futureofdata-budapest;924
5;Excel tippek és trükkök / tips and tricks - Budapest Meetup;19771975;Excel-tippek-es-trukkok-tips-and-tricks-Budapest-Meetup;126
4.85;R-Ladies Budapest;22066895;R-Ladies-Budapest;411
0;NLP Nyílt estek;23374270;NLP-Nyilt-est-Karizmatikus-kommunikacio-NLP-bevezető;144
4.75;Budapest GraphQL;23970220;Budapest-GraphQL;116
0;DataFest;25691486;DataFest;117
4.92;PyData Budapest;25995328;PyData-Budapest;358
5;Budapest Deep Learning Reading Seminar;26449491;Budapest-Deep-Learning-Reading-Seminar;186
0;Neurons.AI (Hungary - Budapest);26594300;Neurons-AI-Hungary-Budapest;67
