Source,Target,Weight,Type
Big-Data-Budapest,Big-Data-Meetup-Budapest,662,Undirected
Big-Data-Budapest,Budapest-Analytics-Rockstars,453,Undirected
Big-Data-Budapest,Budapest-BI-Meetup,401,Undirected
Big-Data-Budapest,Budapest-Cassandra-Users,45,Undirected
Big-Data-Budapest,Budapest-Data-Projects-Meetup,307,Undirected
Big-Data-Budapest,Budapest-Data-Visualization-Meetup,325,Undirected
Big-Data-Budapest,Budapest-Database-Meetup,185,Undirected
Big-Data-Budapest,Budapest-Deep-Learning-Reading-Seminar,63,Undirected
Big-Data-Budapest,Budapest-GraphQL,29,Undirected
Big-Data-Budapest,Budapest-Machine-Learning-Meetup,205,Undirected
Big-Data-Budapest,Budapest-NOSQL,162,Undirected
Big-Data-Budapest,Budapest-Spark-Meetup,261,Undirected
Big-Data-Budapest,Budapest-Users-of-R-Network,383,Undirected
Big-Data-Budapest,Budapest-dataSTREAM-Meetup-Series,291,Undirected
Big-Data-Budapest,DataFest,56,Undirected
Big-Data-Budapest,Excel-tippek-es-trukkok-tips-and-tricks-Budapest-Meetup,29,Undirected
Big-Data-Budapest,HUG-MSSQL,89,Undirected
Big-Data-Budapest,Hungarian-nlp,246,Undirected
Big-Data-Budapest,KURT_Akademia,112,Undirected
Big-Data-Budapest,MongoDB-Budapest,85,Undirected
Big-Data-Budapest,NLP-Nyilt-est-Karizmatikus-kommunikacio-NLP-bevezető,9,Undirected
Big-Data-Budapest,Neurons-AI-Hungary-Budapest,26,Undirected
Big-Data-Budapest,Pro-Bono-Analytics,36,Undirected
Big-Data-Budapest,PyData-Budapest,161,Undirected
Big-Data-Budapest,R-Ladies-Budapest,100,Undirected
Big-Data-Budapest,Snowplow-Analytics-Budapest,59,Undirected
Big-Data-Budapest,budapest_data_science,842,Undirected
Big-Data-Budapest,futureofdata-budapest,366,Undirected
Big-Data-Budapest,neo4j-budapest-users,132,Undirected
Big-Data-Meetup-Budapest,Big-Data-Budapest,662,Undirected
Big-Data-Meetup-Budapest,Budapest-Analytics-Rockstars,483,Undirected
Big-Data-Meetup-Budapest,Budapest-BI-Meetup,465,Undirected
Big-Data-Meetup-Budapest,Budapest-Cassandra-Users,70,Undirected
Big-Data-Meetup-Budapest,Budapest-Data-Projects-Meetup,296,Undirected
Big-Data-Meetup-Budapest,Budapest-Data-Visualization-Meetup,312,Undirected
Big-Data-Meetup-Budapest,Budapest-Database-Meetup,284,Undirected
Big-Data-Meetup-Budapest,Budapest-Deep-Learning-Reading-Seminar,68,Undirected
Big-Data-Meetup-Budapest,Budapest-GraphQL,30,Undirected
Big-Data-Meetup-Budapest,Budapest-Machine-Learning-Meetup,220,Undirected
Big-Data-Meetup-Budapest,Budapest-NOSQL,216,Undirected
Big-Data-Meetup-Budapest,Budapest-Spark-Meetup,343,Undirected
Big-Data-Meetup-Budapest,Budapest-Users-of-R-Network,458,Undirected
Big-Data-Meetup-Budapest,Budapest-dataSTREAM-Meetup-Series,297,Undirected
Big-Data-Meetup-Budapest,DataFest,59,Undirected
